Code ISO 3,البلد,国家名称,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
TON,تونغا,汤加,Tonga,Tonga,Tonga,90,90,90,90
TTO,ترينيداد وتوباغو,特立尼达和多巴哥,Trinidad and Tobago,Trinidad y Tobago,Trinité-et-Tobago,"2256,8","2249,6",2256.8,2249.6
TUN,تونس,突尼斯,Tunisia,Túnez,Tunisie,10224,10388,10224,10388
TUR,تركيا,土耳其,Turkey,Turquía,Turquie,114528,115716,114528,115716
TUV,توفالو,图瓦卢,Tuvalu,Tuvalu,Tuvalu,10,10,10,10
TZA,تنزانيا,坦桑尼亚,Tanzania,Tanzanía,Tanzanie,330246,326212,330246,326212
UGA,أوغندا,乌干达,Uganda,Uganda,Ouganda,28998,28116,28998,28116
UKR,أوكرانيا,乌克兰,Ukraine,Ucrania,Ukraine,97310,97570,97310,97570
UMC,الشريحة العليا من البلدان متوسطة الدخل,中高等收入国家,Upper middle income,Ingreso mediano alto,"Revenu intermédiaire, tranche supérieure","11948157,6","11944681,9",11948157.6,11944681.9
URY,أوروغواي,乌拉圭,Uruguay,Uruguay,Uruguay,17888,18336,17888,18336
USA,الولايات المتحدة,美国,United States,Estados Unidos,États-Unis,3044048,3047876,3044048,3047876
UZB,أوزبكستان,乌兹别克斯坦,Uzbekistan,Uzbekistán,Ouzbékistan,32716,32677,32716,32677
VCT,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,St. Vincent and the Grenadines,San Vicente y las Granadinas,Saint-Vincent-et-les Grenadines,"267,8","268,6",267.8,268.6
VEN,فنزويلا,委内瑞拉玻利瓦尔共和国,"Venezuela, RB",Venezuela,Venezuela,459874,456998,459874,456998
