ID,Name
930060105,IRIS 5
930060115,IRIS 15
930060116,IRIS 16
930060112,IRIS 12
930060101,IRIS 1
930060104,IRIS 4
930060109,IRIS 9
930060106,IRIS 6
930060107,IRIS 7
930070104,IRIS2
930070117,IRIS15
930070119,IRIS16
930070115,IRIS13
930070121,IRIS19
930070106,IRIS4
930070114,IRIS12
930070110,IRIS8
930070120,IRIS18
930070103,IRIS1
930070118,IRIS17
930070108,IRIS7
930070116,IRIS14
930070112,IRIS10
930070102,ZONE ACTIVITE MOLETTE
930070101,ZONE ACTIVITE COUDRAY PARIS NORD
930070113,IRIS11
930070105,IRIS3
930070107,IRIS5
930070111,IRIS9
930070109,IRIS6
930080119,LES VIGNES 4
930080117,BOURSE DU TRAVAIL 4
930080102,BOURSE DU TRAVAIL 1
930080111,PREFECTURE 1
930080116,BOURSE DU TRAVAIL 3
930080110,EDOUARD VAILLANT 5
930080101,LES VIGNES 1
930080113,PREFECTURE 3
930080109,EDOUARD VAILLANT 4
930080114,PREFECTURE 4
930080118,PREFECTURE 5
930080120,LES VIGNES 5
930080106,EDOUARD VAILLANT 1
930080115,BOURSE DU TRAVAIL 2
930080107,EDOUARD VAILLANT 2
930080112,PREFECTURE 2
930080103,LES VIGNES 2
930080104,LES VIGNES 3
930080108,EDOUARD VAILLANT 3
930100103,LES CONFINS D'AULNAY
930100108,LE PARC DU CHATEAU
930100403,LES FLECHES
930100301,LA MARE A LA VEUVE
930100101,LA FLAMICHE
930100204,LE MOULIN A VENT
930100102,LA TERRE SAINT-BLAISE
930100402,LA MARTRAYE
930100303,LE VIEUX CHATEAU
930100304,LE SAULE BLANC
930100201,LE MAINGUY
930100305,LES COURTS SILLONS
930100107,LA NOUE CAILLET
930100203,LE CHAMPART
930100104,SUZANNE BUISSON
930100401,LES FRICHES
930100105,LE CHATEAU GOBILLON
930100106,LES MERISIERS
930100302,LA REMISE A JORELLE
930100202,LE CENTRE VILLE
930100405,FOSSE DE LA REGALE
930100404,LA FERME
930130101,PARCEXPO
930130105,L'ETANG
930130103,BAUDOUIN REPUBLIQUE
930130102,STADE EGLISE
930130107,BIENVENUE RIGAUD
930130104,GUYNEMER GAI LOGIS
930130106,GARE
930140113,IRIS 12
930140110,IRIS 9
930140106,IRIS 5
930140101,PARC DEPARTEMENTAL
930140105,IRIS 4
930140112,IRIS 11
930140111,IRIS 10
930140102,IRIS 1
