ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
920020301,PAJEAUD,H,2 375,1 168,1 207,575,1 506,294,"49,18","50,82","24,21","63,41","12,38"
920020401,PARC HELLER,H,2 856,1 349,1 508,814,1 583,459,"47,23","52,80","28,50","55,43","16,07"
920020407,LES GODETS,H,1 845,926,919,468,1 109,268,"50,19","49,81","25,37","60,11","14,53"
920020104,US METRO,H,2 515,1 175,1 340,664,1 484,367,"46,72","53,28","26,40","59,01","14,59"
920020308,BACONNETS,H,2 251,1 044,1 206,595,1 237,419,"46,38","53,58","26,43","54,95","18,61"
920020201,ONZE NOVEMBRE,H,2 451,1 174,1 276,662,1 389,399,"47,90","52,06","27,01","56,67","16,28"
920020105,CROIX-DE-BERNY,H,2 731,1 276,1 455,605,1 623,503,"46,72","53,28","22,15","59,43","18,42"
920020102,NOUVEAU CIMETIERE,H,1 615,819,796,354,968,293,"50,71","49,29","21,92","59,94","18,14"
920020304,CONSERVATOIRE DARIUS MILHAUD,H,2 654,1 297,1 356,566,1 635,453,"48,87","51,09","21,33","61,61","17,07"
920020305,GRAND L,H,1 839,859,981,532,1 091,216,"46,71","53,34","28,93","59,33","11,75"
920020303,FONTAINE MICHALON,H,1 875,901,973,455,969,451,"48,05","51,89","24,27","51,68","24,05"
920020403,HOTEL DE VILLE,H,2 346,1 113,1 232,584,1 340,422,"47,44","52,51","24,89","57,12","17,99"
920020205,ZONE D'ACTIVITE,H,2 464,1 192,1 272,667,1 389,408,"48,38","51,62","27,07","56,37","16,56"
920040201,MAGENTA I,H,3 031,1 415,1 616,718,1 875,437,"46,68","53,32","23,69","61,86","14,42"
920040401,MAIRIE I,H,2 712,1 229,1 483,587,1 695,430,"45,32","54,68","21,64","62,50","15,86"
920040303,PHILOSOPHES I,H,2 511,1 091,1 420,506,1 641,364,"43,45","56,55","20,15","65,35","14,50"
920040703,NORD III,H,2 075,966,1 109,529,1 133,413,"46,55","53,45","25,49","54,60","19,90"
920040402,MAIRIE II,H,2 616,1 250,1 365,616,1 644,355,"47,78","52,18","23,55","62,84","13,57"
920040404,MAIRIE IV,H,2 383,1 149,1 233,457,1 574,352,"48,22","51,74","19,18","66,05","14,77"
920040604,METRO,H,5 307,2 813,2 494,1 170,3 501,637,"53,01","46,99","22,05","65,97","12,00"
920040707,ARGENTEUIL,H,2 959,1 408,1 551,882,1 750,327,"47,58","52,42","29,81","59,14","11,05"
920040701,NORD I,H,1 186,578,607,411,651,123,"48,74","51,18","34,65","54,89","10,37"
920040501,GRESILLONS I,H,3 078,1 557,1 521,767,2 032,279,"50,58","49,42","24,92","66,02","9,06"
920040105,BECON III,H,2 107,1 002,1 106,600,1 290,217,"47,56","52,49","28,48","61,22","10,30"
920040104,BECON II,H,2 135,982,1 153,542,1 354,239,"46,00","54,00","25,39","63,42","11,19"
920040103,BECON I,H,3 004,1 430,1 574,757,1 811,436,"47,60","52,40","25,20","60,29","14,51"
920040602,RENOIR II,H,2 797,1 284,1 514,695,1 645,457,"45,91","54,13","24,85","58,81","16,34"
920040305,PHILOSOPHES III,H,2 984,1 326,1 658,770,1 737,477,"44,44","55,56","25,80","58,21","15,99"
920040102,FLACHAT II,H,2 106,1 060,1 046,464,1 335,307,"50,33","49,67","22,03","63,39","14,58"
920040502,GRESILLONS II,H,3 862,1 834,2 028,1 058,2 618,186,"47,49","52,51","27,40","67,79","4,82"
920040302,ALMA II,H,3 810,1 898,1 912,801,2 794,215,"49,82","50,18","21,02","73,33","5,64"
920040101,FLACHAT I,H,2 685,1 239,1 446,611,1 538,537,"46,15","53,85","22,76","57,28","20,00"
920040403,MAIRIE III,H,2 570,1 141,1 429,671,1 611,288,"44,40","55,60","26,11","62,68","11,21"
920040202,CHAMPS,H,2 936,1 359,1 577,743,1 889,304,"46,29","53,71","25,31","64,34","10,35"
920040702,NORD II,H,2 662,1 255,1 406,903,1 477,281,"47,15","52,82","33,92","55,48","10,56"
920040301,ALMA I,H,3 344,1 576,1 767,911,2 144,288,"47,13","52,84","27,24","64,11","8,61"
920040706,FREYCINET II,H,1 734,812,921,492,1 100,142,"46,83","53,11","28,37","63,44","8,19"
920040704,NORD IV,H,2 180,1 012,1 168,658,1 268,253,"46,42","53,58","30,18","58,17","11,61"
920040504,GRESILLONS IV,H,2 461,1 189,1 272,648,1 481,332,"48,31","51,69","26,33","60,18","13,49"
920040705,FREYCINET I,H,1 726,815,911,589,961,176,"47,22","52,78","34,13","55,68","10,20"
920040203,MAGENTA II,H,2 992,1 481,1 512,881,1 809,303,"49,50","50,53","29,45","60,46","10,13"
920040603,RENOIR III,H,3 063,1 508,1 556,850,1 984,230,"49,23","50,80","27,75","64,77","7,51"
920040503,GRESILLONS III,H,2 452,1 211,1 241,679,1 544,229,"49,39","50,61","27,69","62,97","9,34"
920040304,PHILOSOPHES II,H,2 249,1 052,1 197,537,1 424,289,"46,78","53,22","23,88","63,32","12,85"
920040601,RENOIR I,H,2 303,1 070,1 233,719,1 395,190,"46,46","53,54","31,22","60,57","8,25"
920070103,QUARTIER 3,H,2 086,987,1 100,596,1 165,326,"47,32","52,73","28,57","55,85","15,63"
920070102,QUARTIER 2,H,1 516,720,796,355,915,246,"47,49","52,51","23,42","60,36","16,23"
920070114,QUARTIER 14,H,2 090,1 027,1 063,604,1 243,242,"49,14","50,86","28,90","59,47","11,58"
920070117,QUARTIER 17,H,1 120,515,605,234,690,197,"45,98","54,02","20,89","61,61","17,59"
920070104,QUARTIER 4,H,2 648,1 288,1 360,617,1 784,248,"48,64","51,36","23,30","67,37","9,37"
